transaction_id,customer_id,amount_egp,currency,channel,merchant_category,transaction_hour,transaction_dow,is_international,pos_entry_mode,fraud_flag
TXN0000000000,5875d2b5-04e6-4222-b4b2-f43e7f12dbf5,2041.87,EGP,Branch,Food & Bev,11,5,0,contactless,0
TXN0000000001,7cba4bf9-35b2-4332-b12e-5acb483dc9e0,801.74,EGP,Mobile,Retail,14,4,0,chip,0
TXN0000000002,a7620508-6bb0-4f2c-9ab2-991a9dfbd3c2,770.46,USD,POS,Retail,1,2,0,contactless,0
TXN0000000003,f6c14be4-3704-4bd0-88ce-154c41cee95f,1893.34,EGP,Online,Transport,10,0,0,chip,0
TXN0000000004,f2afaaac-a0d8-4265-ae89-8810e9dce439,16944.68,EGP,POS,Transport,14,2,0,chip,0
TXN0000000005,3fbfef7c-05a3-4511-8671-338dcb8ba30a,30.18,EGP,POS,Transport,14,3,0,contactless,0
TXN0000000006,624ac902-7047-4365-aec5-174a0de51fb7,117.48,EGP,Online,Utilities,2,0,0,chip,0
TXN0000000007,afbfd673-2a4e-426b-9877-013ea5297c8c,139.4,EGP,Online,Retail,6,0,0,chip,0
TXN0000000008,8003e9f7-9e6a-4be7-a55a-e0e62c6d7201,2000.0,EGP,ATM,Utilities,5,6,0,swipe,0
TXN0000000009,237be305-db9c-4823-b4bc-03e278e2fde2,500.0,EGP,ATM,Utilities,15,0,0,contactless,0
TXN0000000010,ebd5a74a-355c-4002-b879-2d2ccb907927,217.13,EGP,Online,Food & Bev,7,2,0,chip,0
TXN0000000011,be786cce-9caf-47a8-8241-f1f83e2920e7,60.14,EGP,POS,Food & Bev,13,5,0,chip,0
TXN0000000012,22ee1448-5fa5-498d-a363-b8cc118056bb,527.98,EGP,POS,Retail,17,2,0,manual,0
TXN0000000013,11a26306-2ea3-4de8-ae38-a980cadd625f,1000.0,EGP,ATM,Food & Bev,19,3,0,contactless,0
TXN0000000014,eb2d3ef4-2730-4fd8-8f5c-7f1f83069374,647.71,EGP,POS,Healthcare,4,0,0,contactless,0
TXN0000000015,5925bb9d-ec76-41e3-8e00-9a3d456afb42,672.38,EGP,Online,Travel,21,5,0,contactless,0
TXN0000000016,85ff52cd-0d7a-4ddd-956f-2aa4d10b3026,3000.0,EGP,ATM,Transport,3,4,0,contactless,0
TXN0000000017,aa71e44a-b125-41eb-95d5-738bbddd0f0b,195.83,USD,POS,Food & Bev,0,5,0,chip,0
TXN0000000018,92202b44-64b2-407f-aab6-1299a9cdbdb7,6435.6,EGP,Mobile,Utilities,1,6,0,chip,0
TXN0000000019,09352ac2-8264-4c5e-b7b6-32b16a568b67,5000.0,EGP,ATM,Utilities,4,2,1,contactless,1
